사업장명,도로명주소,위도,경도
부산광역시의료원,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.1867160656396,129.0560727242814
의료법인 은성의료재단 좋은강안병원,부산광역시 수영구 수영로 493 (남천동),35.15019268069439,129.10766129415856
비에이치에스한서병원,부산광역시 수영구 수영로 615 (광안동),35.160815083800614,129.1103055473568
의료법인 센텀의료재단 센텀종합병원,부산광역시 수영구 수영로679번길 8 (광안동),35.16680457153468,129.11151007104692
의료법인 은성의료재단 좋은삼선병원,"부산광역시 사상구 가야대로 326, 좋은삼선병원 (주례동)",35.1503432355447,129.005313292632
한국보훈복지의료공단 부산보훈병원,부산광역시 사상구 백양대로 420 (주례동),35.153834080554134,129.00400545942793
동남권원자력의학원원자력병원,부산광역시 기장군 장안읍 좌동길 40,35.32110789280902,129.2409880176529
계명대학교대구동산병원,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",35.86857311262808,128.58050582478162
경북대학교병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",35.86630969918981,128.60185207869995
곽병원,대구광역시 중구 국채보상로 531 (수동),35.870717313913346,128.58578799344787
대구파티마병원,대구광역시 동구 아양로 99 (신암동),35.88420066446788,128.62115517127808
강남종합병원,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",35.88314379954018,128.66040655530492
대구의료원,대구광역시 서구 평리로 157 (중리동),35.85943409430846,128.53776004908653
대구굿모닝병원,"대구광역시 서구 달서로 42, 대구 굿모닝병원 지하2층~11층 (내당동)",35.86596779477307,128.56855274276586
대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),35.84420264043621,128.56509696095773
영남대학교병원,대구광역시 남구 현충로 170 (대명동),35.84734079035294,128.58254388418948
칠곡경북대학교병원,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",35.95614782805944,128.56146750115073
대구가톨릭대학교 칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로 440 (읍내동),35.93490096279667,128.54639828592005
(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",35.840721238390465,128.70291104258774
의료법인구의료재단 구병원,대구광역시 달서구 감삼북길 141 (감삼동),35.85060487082342,128.53856119737821
삼일병원,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",35.83252700987045,128.55072159732248
더블유병원,"대구광역시 달서구 달구벌대로 1632, 더블유병원 (감삼동)",35.85261115277987,128.54202163457649
계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),35.85524923488916,128.48643953392627
나사렛종합병원,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",35.81447298866141,128.52248389638228
한국보훈복지의료공단 대구보훈병원,대구광역시 달서구 월곡로 60 (도원동),35.8028686838783,128.54923686192134
인천기독병원,인천광역시 중구 답동로30번길 10 (율목동),37.471198543095326,126.62904673868375
인천사랑병원,인천광역시 미추홀구 미추홀대로 726 (주안동),37.46214596705691,126.6778006293745
인천적십자병원,"인천광역시 연수구 원인재로 263 (연수동, 인천적십자병원)",37.418454052319916,126.6866947032863
안은의료재단 부평세림병원,"인천광역시 부평구 부평대로 175 (청천동, 세림병원)",37.506795387739004,126.71679295225961
가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),37.484296075254164,126.72227194085728
근로복지공단인천병원,인천광역시 부평구 무네미로 446 (구산동),37.47622523514952,126.75100067819247
검단탑병원,인천광역시 서구 청마로19번길 5 (당하동),37.59252024497321,126.66821598577863
조선대학교병원,광주광역시 동구 필문대로 365 (서석동),35.13903704664729,126.92280804031172
서광병원,광주광역시 서구 금화로59번길 6 (금호동),35.1325871254536,126.85282794371027
선한병원,광주광역시 서구 무진대로 975 (광천동),35.16160502362499,126.88409772121595
광주씨티병원,광주광역시 남구 서문대로654번길 5 (진월동),35.11772750058541,126.89654320240896
해피뷰병원,광주광역시 북구 경열로 216 (유동),35.15860318516964,126.90382931428714
광주일곡병원,광주광역시 북구 양일로 309 (일곡동),35.20286128695675,126.89471948892329
광주센트럴병원,"광주광역시 광산구 수완로 6, A동1,3,5,6층/B동동 (신가동)",35.18570684648782,126.82655785772229
하남성심병원,광주광역시  용아로 259,35.16663107519817,126.79813956505838
대전한국병원,대전광역시 동구 동서대로 1672 (성남동),36.348317596455615,127.4328641175129
학교법인 건양교육재단 건양대학교병원,"대전광역시 서구 관저동로 158, 건양대학교병원 (관저동)",36.3069270551132,127.34026572192204
학교법인을지학원대전을지대학교병원,대전광역시 서구 둔산서로 95 (둔산동),36.35506731522801,127.37909750375825
대청병원,"대전광역시 서구 계백로 1322 (정림동, 대청병원)",36.30847165868446,127.36733788040537
의료법인 동강의료재단 동강병원,울산광역시 중구 태화로 239 (태화동),35.55340878021312,129.29905270631983
의료법인 동강의료재단 동천동강병원,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",35.56857456600488,129.34746390108813
울산병원,울산광역시 남구 월평로171번길 13 (신정동),35.546369562407726,129.3198116984237
의료법인 은성의료재단 좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),35.55288629439316,129.2660554026308
의료법인 정안의료재단 중앙병원,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",35.532207847832716,129.3019924943461
학교법인 울산공업학원 울산대학교병원,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",35.51996642385849,129.4258634363289
의료법인 송은의료재단 울산시티병원,울산광역시 북구 산업로 1007 (연암동),35.58282819906013,129.3557035940136
울산엘리야병원,울산광역시 북구 호계로 285 (호계동),35.62882379302412,129.34768585755424
서울산보람병원,"울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원",35.55904025202582,129.1178205807409
경기도의료원 수원병원,경기도 수원시 장안구 수성로245번길 69 (정자동),37.29198859808238,126.99351158643549
가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),37.27797509396659,127.02467252468897
의료법인 녹산의료재단동수원병원,경기도 수원시 팔달구 중부대로 165 (우만동),37.278156411845636,127.0314234229332
아주대학교병원,경기도 수원시 영통구 월드컵로 164 (원천동),37.280077889353365,127.04537263290754
의료법인 토마스의료재단 윌스기념병원,경기도 수원시 팔달구 경수대로 437 (인계동),37.26541361575183,127.02270050298485
의료법인 명인의료재단 화홍병원,경기도 수원시 권선구 호매실로90번길 98 (호매실동),37.26014683662418,126.96083577548097
의료법인 덕산의료재단 수원덕산병원,경기도 수원시 권선구 서부로 1674 (고색동),37.25848530759332,126.97142335568172
국군수도병원,경기도 성남시 분당구 새마을로177번길 81 (율동),37.392373168575155,127.14618485391028
분당서울대학교병원,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",37.349786791175646,127.12134116947742
순천의료재단 성남정병원,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",37.439856608424016,127.12611133482088
성남시의료원,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",37.44476627582211,127.13632002322875
성남중앙병원,경기도 성남시 중원구 산성대로476번길 12 (금광동),37.45280668513727,127.15918505312533
차의과학대학교분당차병원,경기도 성남시 분당구 야탑로 59 (야탑동),37.41024993617838,127.12235956078105
대진의료재단 분당제생병원,경기도 성남시 분당구 서현로180번길 20 (서현동),37.38813102157563,127.1187330048045
학교법인 을지학원 의정부을지대학교병원,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",37.75265578966359,127.04909450256257
경기도의료원의정부병원,경기도 의정부시 흥선로 142 (의정부동),37.74112115246852,127.03959774954541
가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",37.75836485621016,127.07482923272045
의료법인 영동의료재단 의정부백병원,경기도 의정부시 금신로 322 (신곡동),37.745336417571174,127.05908435115059
한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22 (평촌동),37.391513520526594,126.95893317528831
부천세종병원,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",37.480969450164906,126.78843977346226
가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",37.48703110863395,126.78949923446703
뉴대성병원,"경기도 부천시 원미구 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",37.492448746385904,126.7812887630919
순천향대학교부속부천병원,"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",37.498391568891044,126.7598473617237
의료법인대인의료재단 다니엘종합병원,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",37.51241044422273,126.76651411031786
부천우리병원,경기도 부천시 오정구 소사로 726 (원종동),37.52086112495082,126.80230563821853
광명성애병원,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",37.47341255100033,126.86882606307283
중앙대학교광명병원,경기도 광명시 덕안로 110(일직동),37.424511164715646,126.88300203964471
의료법인 박애의료재단 박애병원,경기도 평택시 평택2로20번길 3 (평택동),36.99312112497772,127.08609751077736
의료법인백송의료재단 굿모닝병원,경기도 평택시 중앙로 338 (합정동),36.99062456998518,127.1176339556085
의료법인 양진의료재단 평택성모병원,경기도 평택시 평택로 284 (세교동),37.008396762716515,127.0712507915498
의료법인 갈렌의료재단 박병원,경기도 평택시 송탄로 33 (장당동),37.04821943105919,127.05410178778656
고려대학교의과대학부속안산병원,경기도 안산시 단원구 적금로 123 (고잔동),37.319305443900134,126.82231231138911
근로복지공단안산병원,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",37.316669545098925,126.87143820588747
의료법인칠석의료재단사랑의병원,"경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)",37.32700338623306,126.8418943305579
대아의료재단한도병원,경기도 안산시 단원구 선부광장로 103 (선부동),37.33404273938557,126.80472817959848
의료법인 플러스의료재단 단원병원,"경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)",37.300218451739624,126.8103606975278
의료법인성광의료재단일산차병원,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",37.65421580737453,126.77306389493654
인제대학교일산백병원,경기도 고양시 일산서구 주화로 170 (대화동),37.674206172326336,126.7476786430757
국민건강보험공단일산병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",37.645585318483896,126.78992223762486
국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),37.66357514141687,126.78064882304061
의료법인자인의료재단(더자인병원),"경기도 고양시 덕양구 중앙로 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)",37.623078062375264,126.832619046163
동국대학교일산불교병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",37.67640345914535,126.8035954398063
한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),37.60120106979067,127.12955884931763
남양주 한양병원,경기도 남양주시 오남읍 양지로 47-55,37.68290922046704,127.20191145046793
현대병원,경기도 남양주시 진접읍 봉현로 21,37.71550609856572,127.17682937605701
오산한국병원,경기도 오산시 밀머리로1번길 16 (원동),37.14120128982667,127.0723687724915
의료법인 록향의료재단 신천연합병원,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",37.44454558795137,126.78649449455415
의료법인 남촌의료재단 시화병원,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",37.35003748128157,126.73430226939139
의료법인 석경의료재단 센트럴병원,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",37.336885898777396,126.72536390802453
원광대학교 산본병원,경기도 군포시 산본로 321 (산본동),37.35941594380144,126.93072512630057
효산의료재단 지샘병원,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",37.35868285629565,126.94445618720091
강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",37.27364239545504,127.10863580290619
(의)영문의료재단 다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",37.23162126737429,127.208523653017
연세대학교 의과대학 용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363 (중동),37.27079592799029,127.14407729079647
메디필드한강병원,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),37.23537762520646,127.1982103391611
경기도의료원파주병원,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",37.754996582785935,126.77696254315103
메디인병원,경기도 파주시 금릉역로 190(금촌동),37.76146833827166,126.76452707337083
경기도의료원 이천병원,경기도 이천시 경충대로 2742 (관고동),37.28269777323164,127.43004639198178
경기도의료원 안성병원,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",37.01710168108918,127.25735715887055
안성성모병원,경기도 안성시 시장길 58 (서인동),37.0062428002133,127.2681659361498
의료법인우리의료재단김포우리병원,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",37.63209863211662,126.70787629262989
의료법인인봉의료재단뉴고려병원,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",37.640879360076305,126.65717140613197
한림대학교춘천성심병원,강원특별자치도 춘천시 삭주로 77 (교동),37.88374436341683,127.73671602583265
의료법인 강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),37.77432188543685,128.90425378637798
근로복지공단 태백병원,강원특별자치도 태백시 보드미길 8 (장성동),37.103983326065816,129.00130620342642
강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),38.216498010270946,128.58597333769717
강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 418 (남양동),37.44034645656906,129.1609564850438
의료법인자산의료재단제천서울병원,충청북도 제천시 숭문로 57 (서부동),37.13874903697697,128.20314377572151
의료법인 명지의료재단 명지병원,"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",37.16338479528851,128.23127742889704
의료법인 힐링의료재단 옥천성모병원,충청북도 옥천군 옥천읍 성왕로 1195,36.313417574512776,127.56918021393057
충청남도 공주의료원,충청남도 공주시 무령로 77 (웅진동),36.45914470831803,127.1064179514006
충청남도서산의료원,충청남도 서산시 중앙로 149 (석림동),36.77550655832129,126.46261082576711
서산중앙병원,충청남도 서산시 수석산업로 5 (수석동),36.781771689373294,126.50061557363155
전주고려병원,전북특별자치도 전주시 덕진구 안덕원로 367 (산정동),35.83991161314684,127.16401856152213
의료법인영경의료재단전주병원,"전북특별자치도 전주시 완산구 한두평3길 13 (중화산동2가, 전주병원)",35.81519416047857,127.12184184291344
의료법인오성의료재단동군산병원,전북특별자치도 군산시 조촌로 149 (조촌동),35.977533859522254,126.73430749849608
전북특별자치도 남원의료원,전북특별자치도 남원시 충정로 365 (고죽동),35.43185582841938,127.40525662521546
의료법인해민의료재단 세안종합병원,전라남도 목포시 고하대로 795-2 (연산동),34.8168785483207,126.37726483732051
목포한국병원,전라남도 목포시 영산로 483 (상동),34.80898923389553,126.41353992721281
목포기독병원,전라남도 목포시 백년대로 303 (상동),34.80423022183074,126.41735438931602
의료법인목포구암의료재단 목포중앙병원,전라남도 목포시 영산로 627 (석현동),34.82151347269407,126.41870488124854
여수전남병원,"전라남도 여수시 좌수영로 49 (광무동, 전남병원)",34.74496988783913,127.7250020172338
순천제일병원,전라남도 순천시 기적의도서관1길 3 (조례동),34.95499549456565,127.52127742164946
근로복지공단 순천병원,전라남도 순천시 조례1길 24 (조례동),34.96097151276471,127.5222805022899
순천중앙병원,전라남도 순천시 장명로 5 (장천동),34.951246180027695,127.48147834529232
전라남도순천의료원,전라남도 순천시 서문성터길 2 (매곡동),34.95841024566835,127.48074579252552
